Event	ID	Name			Wwise Object Path	Notes
	287728669	Stop_SFX			\Default Work Unit\Cockatoo\SFX\Stop_SFX	
	758826763	Play_Wombat_Eating			\Default Work Unit\Wombat\Play_Wombat_Eating	
	2355898552	Play_Wombat_Chatter			\Default Work Unit\Wombat\Play_Wombat_Chatter	
	2441382638	Stop_Wombat_Chatter			\Default Work Unit\Wombat\Stop_Wombat_Chatter	
	3141129795	Play_SFX			\Default Work Unit\Cockatoo\SFX\Play_SFX	
	3257337840	Play_SFX_06			\Default Work Unit\Possum\SFX\Play_SFX_06	
	3257337842	Play_SFX_04			\Default Work Unit\Lorikeet\SFX\Play_SFX_04	
	3257337843	Play_SFX_05			\Default Work Unit\Magpie\SFX\Play_SFX_05	
	3257337844	Play_SFX_02			\Default Work Unit\Koala\SFX\Play_SFX_02	
	3257337845	Play_SFX_03			\Default Work Unit\Kookaburra\SFX\Play_SFX_03	
	3257337847	Play_SFX_01			\Default Work Unit\Ibis\SFX\Play_SFX_01	
	3440786873	Stop_SFX_01			\Default Work Unit\Ibis\SFX\Stop_SFX_01	
	3440786874	Stop_SFX_02			\Default Work Unit\Koala\SFX\Stop_SFX_02	
	3440786875	Stop_SFX_03			\Default Work Unit\Kookaburra\SFX\Stop_SFX_03	
	3440786876	Stop_SFX_04			\Default Work Unit\Lorikeet\SFX\Stop_SFX_04	
	3440786877	Stop_SFX_05			\Default Work Unit\Magpie\SFX\Stop_SFX_05	
	3440786878	Stop_SFX_06			\Default Work Unit\Possum\SFX\Stop_SFX_06	
	3487772253	Stop_Wombat_Eating			\Default Work Unit\Wombat\Stop_Wombat_Eating	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	5585213	lorikeet-squawk_04_mono	D:\Uni\Unity\Solarvale\solarvale-tale-of-the-sunroot\solarvale-tale-of-the-sunroot_WwiseProject\.cache\Windows\SFX\Rainbow Lorikeet\Mono_lorikeet\lorikeet-squawk_04_mono_79C2F450.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Animals\Lorikeet\SFX\Squawk\lorikeet-squawk_04_mono		26232
	14543938	cockatoo-call_multiple_01-mono	D:\Uni\Unity\Solarvale\solarvale-tale-of-the-sunroot\solarvale-tale-of-the-sunroot_WwiseProject\.cache\Windows\SFX\Cockatoo\Mono_Cockatoo\cockatoo-call_multiple_01-mono_1E1EDF17.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Animals\Cockatoo\SFX\Call\cockatoo-call_multiple_01-mono		103416
	15635263	kookaburra-chuckle_multiple_03-mono	D:\Uni\Unity\Solarvale\solarvale-tale-of-the-sunroot\solarvale-tale-of-the-sunroot_WwiseProject\.cache\Windows\SFX\Kookaburra\Mono\kookaburra-chuckle_multiple_03-mono_91C26E99.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Animals\Kookaburra\SFX\Chuckle\kookaburra-chuckle_multiple_03-mono		417516
	22394516	kookaburra-chuckle_02-mono	D:\Uni\Unity\Solarvale\solarvale-tale-of-the-sunroot\solarvale-tale-of-the-sunroot_WwiseProject\.cache\Windows\SFX\Kookaburra\Mono\kookaburra-chuckle_02-mono_5B00B828.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Animals\Kookaburra\SFX\Chuckle\kookaburra-chuckle_02-mono		55788
	66978637	cockatoo-shriek_01-mono	D:\Uni\Unity\Solarvale\solarvale-tale-of-the-sunroot\solarvale-tale-of-the-sunroot_WwiseProject\.cache\Windows\SFX\Cockatoo\Mono_Cockatoo\cockatoo-shriek_01-mono_9ECFD2E3.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Animals\Cockatoo\SFX\Shriek\cockatoo-shriek_01-mono		19500
	76346754	lorikeet-chirp_02-mono	D:\Uni\Unity\Solarvale\solarvale-tale-of-the-sunroot\solarvale-tale-of-the-sunroot_WwiseProject\.cache\Windows\SFX\Rainbow Lorikeet\Mono_lorikeet\lorikeet-chirp_02-mono_267516E8.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Animals\Lorikeet\SFX\Chirp\lorikeet-chirp_02-mono		9996
	84967930	wombat-hiss_03-mono	D:\Uni\Unity\Solarvale\solarvale-tale-of-the-sunroot\solarvale-tale-of-the-sunroot_WwiseProject\.cache\Windows\SFX\Wombat\Mono_Wombat\wombat-hiss_03-mono_1BAE923A.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Animals\Wombat\Hiss\wombat-hiss_03-mono		15036
	93827787	koala-growl_grunt_01-mono	D:\Uni\Unity\Solarvale\solarvale-tale-of-the-sunroot\solarvale-tale-of-the-sunroot_WwiseProject\.cache\Windows\SFX\Koala\Mono\koala-growl_grunt_01-mono_306F5D71.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Animals\Koala\SFX\Growl\koala-growl_grunt_01-mono		40092
	108345117	possum-screech_03-mono	D:\Uni\Unity\Solarvale\solarvale-tale-of-the-sunroot\solarvale-tale-of-the-sunroot_WwiseProject\.cache\Windows\SFX\Possum\Mono\possum-screech_03-mono_A19674AD.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Animals\Possum\SFX\Screech\possum-screech_03-mono		30084
	116580538	ibis-honk_02-mono	D:\Uni\Unity\Solarvale\solarvale-tale-of-the-sunroot\solarvale-tale-of-the-sunroot_WwiseProject\.cache\Windows\SFX\ibis-honk_02-mono_11F13B9D.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Animals\Ibis\SFX\Honk\ibis-honk_02-mono		49056
